model,calibration_method,uci_ece,uci_brier,uci_auroc,mimic_ece,mimic_brier,mimic_auroc,calibration_drift,uci_auroc_ci_lo,uci_auroc_ci_hi,uci_ece_ci_lo,uci_ece_ci_hi,mimic_auroc_ci_lo,mimic_auroc_ci_hi,mimic_ece_ci_lo,mimic_ece_ci_hi
LR,isotonic,0.0222,0.0098,1.0,0.7612,0.7566,0.4853,0.739,1.0,1.0,0.0015,0.0501,0.4325,0.5203,0.6728,0.8437
RF,isotonic,0.0,0.0,1.0,0.7526,0.7526,0.5068,0.7526,1.0,1.0,0.0,0.0,0.5,0.5214,0.6598,0.8351
XGB,isotonic,0.007,0.003,1.0,0.6801,0.6731,0.5793,0.6731,1.0,1.0,0.0,0.0209,0.5095,0.6419,0.5943,0.777
SVM,isotonic,0.0152,0.0064,1.0,0.7554,0.7489,0.483,0.7402,1.0,1.0,0.0003,0.0374,0.4091,0.5405,0.6666,0.8374
NB,base,0.0164,0.0164,1.0,0.7526,0.7526,0.4774,0.7362,1.0,1.0,0.0,0.0492,0.4038,0.5316,0.6598,0.8351
